log_timestamp_millis;seq;det_drowsiness;det_microsleep;det_reserved_0;det_no_driver;det_fake_driver;det_eyes_on_road;det_distraction;det_smoking;det_eating;det_drinking;det_phoning;det_reserved_1;det_long_distraction;det_short_distraction;timestamp;tracking_status;head_pose_origin_x;head_pose_origin_y;head_pose_origin_z;head_pose_x_axis_x;head_pose_x_axis_y;head_pose_x_axis_z;head_pose_y_axis_x;head_pose_y_axis_y;head_pose_y_axis_z;head_pose_z_axis_x;head_pose_z_axis_y;head_pose_z_axis_z;head_pose_quality;consensus_gaze_origin_x;consensus_gaze_origin_y;consensus_gaze_origin_z;consensus_gaze_direction_x;consensus_gaze_direction_y;consensus_gaze_direction_z;consensus_gaze_quality;se_perclos_value;se_perclos_quality;drowsiness_4_level_value;drowsiness_4_level_status;eye_open_left_value;eye_open_left_quality;eye_open_right_value;eye_open_right_quality;eye_opening_left_value;eye_opening_left_quality;eye_opening_right_value;eye_opening_right_quality;eye_closure_duration;tracking_state;valid
1737631800302;304007;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;5161843435000;2;-0.005914844572544098;0.08975902199745178;0.9395363926887512;-0.9916978478431702;0.008374512195587158;-0.12831714749336243;-0.012402340769767761;0.9869958162307739;0.16026683151721954;0.12799064815044403;0.16052769124507904;-0.9786977171897888;1.0;-0.0038841029163450003;0.09315651655197144;0.9349461793899536;0.17986705899238586;0.2152700275182724;-0.9598472118377686;0.8827300071716309;0;0.0;1.0;0;TRUE;1.0;TRUE;1.0;0.00983692891895771;0.8953638076782227;0.009704658761620522;0.8658327460289001;0;2;TRUE
1737631800319;304008;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;5161860125000;2;-0.00610270956531167;0.08977311849594116;0.9393857717514038;-0.9924886226654053;0.009419437497854233;-0.12197387963533401;-0.010173686780035496;0.9872228503227234;0.1590205430984497;0.12191329151391983;0.15906699001789093;-0.9797115921974182;1.0;-0.004951197188347578;0.09289630502462387;0.9340755343437195;0.17073825001716614;0.18162885308265686;-0.9684314131736755;0.8556419610977173;0;0.0;1.0;0;TRUE;1.0;TRUE;1.0;0.009724972769618034;0.893919825553894;0.009709631092846394;0.867792010307312;0;2;TRUE
1737631800337;304009;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;5161876802000;2;-0.006246981676667929;0.09000594913959503;0.9395382404327393;-0.992599368095398;0.007325052283704281;-0.1212138906121254;-0.012453180737793446;0.9867763519287109;0.16160860657691956;0.12079479545354843;0.16192209720611572;-0.9793823957443237;1.0;-0.006151334848254919;0.09281694144010544;0.9335336685180664;0.1609412431716919;0.1605793535709381;-0.9738132357597351;0.8560704588890076;0;0.0;1.0;0;TRUE;1.0;TRUE;1.0;0.009617626667022705;0.8928651809692383;0.009824633598327637;0.8696013689041138;0;2;TRUE
1737631800352;304010;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;5161893488000;2;-0.006369259674102068;0.09011855721473694;0.9393821954727173;-0.9926181435585022;0.004205577075481415;-0.121208555996418;-0.015311992727220058;0.9870560765266418;0.1596430391073227;0.12031102925539017;0.16032052040100098;-0.9797053337097168;1.0;-0.0058661834336817265;0.09282746911048889;0.9334850907325745;0.15610261261463165;0.1560714691877365;-0.9753326177597046;0.8728454113006592;0;0.0;1.0;0;TRUE;1.0;TRUE;1.0;0.009538719430565834;0.8920460343360901;0.009974864311516285;0.8710864186286926;0;2;TRUE
1737631800370;304011;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;5161910170000;2;-0.006351220887154341;0.09022925049066544;0.9394187331199646;-0.9930948615074158;0.00872850976884365;-0.11698883026838303;-0.01022192183881998;0.9869973063468933;0.1604115068912506;0.11686781048774719;0.1604996919631958;-0.9800927042961121;1.0;-0.005597264040261507;0.09285883605480194;0.9334444999694824;0.14959853887557983;0.1503245085477829;-0.9772526621818542;0.8832818865776062;0;0.0;1.0;0;TRUE;1.0;TRUE;1.0;0.009491329081356525;0.8927456140518188;0.010254599153995514;0.8721446394920349;0;2;TRUE
1737631800379;304012;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;5161910170000;2;-0.006351220887154341;0.09022925049066544;0.9394187331199646;-0.9930948615074158;0.00872850976884365;-0.11698883026838303;-0.01022192183881998;0.9869973063468933;0.1604115068912506;0.11686781048774719;0.1604996919631958;-0.9800927042961121;1.0;-0.005597264040261507;0.09285883605480194;0.9334444999694824;0.14959853887557983;0.1503245085477829;-0.9772526621818542;0.8832818865776062;0;0.0;1.0;0;TRUE;1.0;TRUE;1.0;0.009491329081356525;0.8927456140518188;0.010254599153995514;0.8721446394920349;0;2;TRUE
1737631800406;304013;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;5161943547000;2;-0.006132469978183508;0.09004471451044083;0.9386348724365234;-0.9926149845123291;0.0014144973829388618;-0.12129927426576614;-0.01661616377532482;0.9889217019081116;0.1475052535533905;0.12016412615776062;0.1484314501285553;-0.981594979763031;1.0;-0.004697073251008987;0.0928645208477974;0.9331919550895691;0.13989987969398499;0.12349081039428711;-0.9824347496032715;0.9178697466850281;0;0.0;1.0;0;TRUE;1.0;TRUE;1.0;0.009530712850391865;0.8950245976448059;0.01006550993770361;0.8724639415740967;0;2;TRUE
1737631800419;304014;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;5161960223000;2;-0.005832452327013016;0.09002919495105743;0.9384369254112244;-0.9923650622367859;0.0018819308606907725;-0.12332098931074142;-0.016045691445469856;0.98941570520401;0.14421872794628143;0.12228713929653168;0.14509639143943787;-0.9818313717842102;1.0;-0.0044188182801008224;0.09280721843242645;0.932965099811554;0.13816674053668976;0.11014105379581451;-0.9842656850814819;0.9304608106613159;0;0.0;1.0;0;TRUE;1.0;TRUE;1.0;0.009646288119256496;0.8964171409606934;0.009710278362035751;0.8718003034591675;0;2;TRUE
1737631800435;304015;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;5161976910000;2;-0.005472616292536259;0.08984917402267456;0.9379137754440308;-0.9917845129966736;-0.001235310104675591;-0.12791390717029572;-0.018805336207151413;0.9904970526695251;0.13624218106269836;0.12653005123138428;0.13752835988998413;-0.9823828935623169;1.0;-0.004184782039374113;0.09274359792470932;0.9326738119125366;0.1327223777770996;0.09884250909090042;-0.986212432384491;0.9424014687538147;0;0.0;1.0;0;TRUE;1.0;TRUE;1.0;0.00971039105206728;0.8974260091781616;0.009158738888800144;0.8712058067321777;0;2;TRUE
1737631800452;304016;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;5161993592000;2;-0.005230946931988001;0.09005296975374222;0.9378149509429932;-0.9916308522224426;0.0007607645238749683;-0.12910345196723938;-0.016942188143730164;0.9905682802200317;0.13596835732460022;0.12798923254013062;0.13701771199703217;-0.9822651743888855;1.0;-0.004252145532518625;0.09275836497545242;0.9324004650115967;0.12761512398719788;0.09961153566837311;-0.9868089556694031;0.9426849484443665;0;0.0;1.0;0;TRUE;1.0;TRUE;1.0;0.009745258837938309;0.9236372709274292;0.009160906076431274;0.8710429072380066;0;2;TRUE
